# RA              DEC                 z             sig               n200
 34.8421	 -6.6073	     0.9	  11.499	      97
 34.6685	-6.97683	     0.8	   5.446	      24
  34.658	-6.73809	     0.8	   5.904	      27
 34.4112	-6.54502	     0.8	   5.079	      16
 34.3547	-6.71317	     0.8	    5.23	      17
 34.2334	-7.24256	     0.7	   3.719	      17
 34.1937	-6.97268	     0.7	   4.534	      19
 34.9697	-6.62183	     0.8	   6.435	      34
 34.9132	 -6.7713	     0.9	  10.888	     128
 34.9027	-6.85642	     0.8	   8.453	      51
 34.8923	-6.90002	     0.9	   4.655	      25
 34.8755	-7.38581	     0.9	   4.372	      12
 34.8295	-7.23218	     0.9	    3.66	      14
 34.7898	-6.57823	     0.9	    4.79	      22
 34.7647	-6.70279	     0.8	   4.485	      24
 34.4865	-6.70695	     0.8	    4.07	      14
  34.886	-6.68826	     0.9	   5.161	      30
 34.6706	-7.04949	     0.9	   3.842	      16
 34.5953	-7.13668	     0.9	   6.218	      39
 34.1853	-7.26332	       1	   4.131	       9
 34.1184	-6.60522	     0.9	   3.924	      14
 34.0368	-6.88756	     0.9	   5.774	      32
 34.9506	 -7.7777	     0.3	   3.815	      11
 34.1268	-7.62822	     0.3	   3.914	       9
 34.9086	-7.54726	     0.5	   4.177	      10
 34.8667	-7.49951	     0.5	   3.631	       9
 34.5439	-8.02267	     0.5	   3.615	      11
 34.4706	-8.26141	     0.5	    4.46	      17
 34.3741	-8.01436	     0.5	   5.013	      13
 34.3595	-8.37767	     0.5	   6.133	      20
 34.3196	-8.26764	     0.5	   3.719	      14
 34.3071	-7.78393	     0.5	   3.807	      14
 34.2588	-8.25103	     0.5	    5.29	      14
 34.2064	-7.52235	     0.5	    4.09	      13
 34.2043	-7.91056	     0.5	   3.515	       8
 34.1247	-8.14723	     0.5	   6.638	      27
 34.3301	-7.68635	     0.7	   3.538	      13
 34.3071	-7.73825	     0.7	   3.515	      14
 34.2546	-7.89811	     0.7	    3.55	      11
   34.24	-8.38805	     0.7	   4.421	      18
 34.1163	-7.64276	     0.7	   3.645	      19
 34.1016	-7.72372	     0.7	   3.881	      21
 34.0828	-7.59708	     0.7	   3.571	      20
 34.9673	-7.93755	     0.9	   3.692	      21
 34.8395	-7.74863	     0.9	   5.281	      28
 34.6739	-7.81507	     0.9	   3.502	      15
 34.5062	-7.55141	     0.9	   3.573	      19
 34.2232	-7.82129	     0.9	   3.807	      10
 34.1058	 -8.2365	     0.9	    3.53	      19
 34.8206	-8.06627	     0.2	   4.619	      13
  34.523	-8.34445	     0.2	   4.824	      10
 34.4789	-7.97077	     0.2	   6.937	      19
 34.8835	-8.30293	     0.4	   4.891	      14
 34.8751	 -7.6822	     0.4	   3.573	       9
 34.8437	-7.76732	     0.4	   4.352	      12
 34.8395	-8.40051	     0.4	   5.505	      15
 34.5879	-8.01021	     0.4	   4.004	      13
 34.4894	-7.86697	     0.4	   3.661	       7
 34.3783	-8.24065	     0.4	   4.025	      14
 34.3448	-7.97492	     0.4	    3.84	      10
 34.9065	-7.68012	     0.6	   3.548	      15
 34.8919	-8.09533	     0.6	   4.905	      21
 34.6676	-7.86904	     0.6	   3.678	      10
 34.5649	-8.20328	     0.6	   3.813	      13
 34.2756	-8.07872	     0.6	   3.902	      13
 34.1268	-7.93548	     0.6	   4.361	      17
 34.0807	-8.09325	     0.6	   3.549	      17
 34.0513	-8.12024	     0.6	   4.043	      17
 34.9715	-7.86074	     0.8	    4.44	      20
 34.9506	-7.64276	     0.8	   3.784	      15
 34.9296	-7.60539	     0.8	   3.538	      11
 34.9233	-7.49951	     0.8	   4.377	      19
 34.8835	-7.61992	     0.8	   3.525	      12
 34.6047	-7.91887	     0.8	   4.029	      22
 34.5146	-7.96662	     0.8	   4.277	      21
 34.2337	-7.92094	     0.8	   4.108	      21
 34.0723	-7.96869	     0.8	   3.525	      19
 34.0618	-8.11194	     0.8	   3.533	      11
 34.0555	-7.58255	     0.8	   3.886	      23
 34.9275	-7.48705	       1	   3.646	       9
 34.8961	-7.57425	       1	   4.507	      19
 34.8898	-7.61577	       1	   4.272	      22
 34.8835	-7.90018	       1	   3.966	      19
  34.852	-8.09118	       1	   4.025	      18
 34.7514	-7.91679	       1	   3.858	      14
 34.7451	-8.21159	       1	   3.768	      14
 34.7263	-7.77354	       1	   4.264	      21
 34.7137	-8.10156	       1	   4.433	      21
 34.6948	-7.66767	       1	   3.982	      16
 34.6739	-8.27179	       1	   4.313	      20
 34.6697	-7.64276	       1	   3.949	      14
 34.6487	-8.23235	       1	   4.532	      17
  34.611	-7.92094	       1	    3.79	      16
 34.5795	-8.02682	       1	   4.438	      20
 34.5628	-8.14308	       1	   4.757	      27
 34.5104	 -7.9853	       1	    6.73	      34
 34.3259	-8.12024	       1	   4.947	      16
 34.2861	-8.30293	       1	   4.973	      11
 34.1624	-8.10779	       1	   5.065	      19
 34.1415	-8.21159	       1	   3.544	      14
 34.0891	-8.10156	       1	   3.854	      13
 34.1939	-7.83583	     0.6	   5.016	      15
 34.8814	-7.80261	     0.3	   5.101	      21
 34.8311	-8.27179	     0.2	   8.236	      26
 34.7996	 -7.9251	     0.4	   6.818	      19
 34.8038	-7.57217	     0.3	   6.531	      26
 34.6802	-7.90226	     0.3	   6.056	      13
 34.6613	-7.97907	     0.3	   6.793	      21
 34.4643	-7.79223	     0.2	   9.001	      38
 34.4265	-7.91471	     0.3	   6.977	      12
 34.1058	-7.92302	     0.2	   4.007	       9
 34.9464	-7.92094	     0.4	   5.449	      11
 34.9212	-8.22612	     0.4	   6.038	      21
 34.8164	-7.82129	     0.3	   6.065	      21
 34.7913	 -8.2365	     0.4	   3.793	       5
   34.72	-8.00191	     0.3	   6.443	      20
 34.6026	 -7.5784	     0.4	   5.995	      15
 34.2987	-7.74033	     0.3	    4.07	       7
 34.2672	-7.89811	     0.3	   6.735	      30
 34.2064	-8.21574	     0.5	  10.429	      55
 34.2148	-7.58463	     0.5	   5.654	      21
 34.1771	-8.00814	     0.3	   3.697	       9
  34.567	-7.71334	     0.5	   5.345	      20
 34.5041	-8.13477	     0.4	   5.859	      14
 34.0241	-7.66559	     0.6	   6.129	      23
 34.9464	-8.11817	     0.6	   7.862	      38
 34.8416	-8.07249	     0.6	   6.173	      22
  34.611	-7.75901	     0.6	    6.72	      28
 34.5481	 -8.2884	     0.7	   4.638	      13
 34.3867	-7.53688	     0.6	   5.335	      22
 34.3217	 -7.9334	     0.6	    4.47	      12
 34.2756	-8.35276	     0.5	   6.393	      33
 34.2022	-7.86904	     0.5	    5.78	      11
 34.1666	-7.55764	     0.5	   6.656	      25
 34.1184	-7.97907	     0.8	   7.622	      63
